384502,article,commun. acm,,,acm,7,21,7,1978,jul,2005-11-09 11:01:14,"new york, ny, usa","time, clocks, and the ordering of events in a distributed system","the concept of one event happening before another in a distributed system is examined, and is shown to define a partial ordering of the events. a distributed algorithm is given for synchronizing a system of logical clocks which can be used to totally order the events. the use of the total ordering is illustrated with a method for solving synchronization problems. the algorithm is then specialized for synchronizing physical clocks, and a bound is derived on how far out of synchrony the clocks can become."
1362387,article,"science (new york, n.y.)",,,american association for the advancement of science,5,316,5830,2007,jun,2007-06-04 12:09:26,,genome-wide mapping of in vivo {protein-dna} interactions.,"in vivo {protein-dna} interactions connect each transcription factor with its direct targets to form a gene network scaffold. to map these {protein-dna} interactions comprehensively across entire mammalian genomes, we developed a large-scale chromatin immunoprecipitation assay ({chipseq}) based on direct ultrahigh-throughput {dna} sequencing. this sequence census method was then used to map in vivo binding of the neuron-restrictive silencer factor ({nrsf}; also known as {rest}, for repressor element-1 silencing transcription factor) to 1946 locations in the human genome. the data display sharp resolution of binding position [+/-50 base pairs (bp)], which facilitated our finding motifs and allowed us to identify noncanonical {nrsf}-binding motifs. these {chipseq} data also have high sensitivity and specificity [{roc} (receiver operator characteristic) area >/= 0.96] and statistical confidence (p <10(-4)), properties that were important for inferring new candidate interactions. these include key transcription factors in the gene network that regulates pancreatic islet cell development."
7736929,misc,arxiv e-prints,,,,,,,2010,aug,2010-08-30 08:03:05,,data analysis recipes: fitting a model to data,
9134853,article,nature genetics,,,nature research,7,43,5,2011,apr,2011-04-11 09:41:41,,a framework for variation discovery and genotyping using next-generation {dna} sequencing data,"recent advances in sequencing technology make it possible to comprehensively catalog genetic variation in population samples, creating a foundation for understanding human disease, ancestry and evolution. the amounts of raw data produced are prodigious, and many computational steps are required to translate this output into high-quality variant calls. we present a unified analytic framework to discover and genotype variation among multiple samples simultaneously that achieves sensitive and specific results across five sequencing technologies and three distinct, canonical experimental designs. our process includes (i) initial read mapping; (ii) local realignment around indels; (iii) base quality score recalibration; (iv) {snp} discovery and genotyping to find all potential variants; and (v) machine learning to separate true segregating variation from machine artifacts common to next-generation sequencing technologies. we here discuss the application of these tools, instantiated in the genome analysis toolkit, to deep whole-genome, whole-exome capture and multi-sample low-pass (∼4×) 1000 genomes project datasets."
686555,article,proceedings of the national academy of sciences,,,national academy of sciences,5,103,23,2006,jun,2006-06-06 12:41:09,,modularity and community structure in networks,"many networks of interest in the sciences, including social networks, computer networks, and metabolic and regulatory networks, are found to divide naturally into communities or modules. the problem of detecting and characterizing this community structure is one of the outstanding issues in the study of networked systems. one highly effective approach is the optimization of the quality function known as  ” modularity” over the possible divisions of a network. here i show that the modularity can be expressed in terms of the eigenvectors of a characteristic matrix for the network, which i call the modularity matrix, and that this expression leads to a spectral algorithm for community detection that returns results of demonstrably higher quality than competing methods in shorter running times. i illustrate the method with applications to several published network data sets."
270495,article,bioinformatics,bioinformatics,,oxford university press,8,19,2,2003,jan,2005-07-31 22:53:00,"group in biostatistics, university of california, berkeley, ca 94720, usa. bolstad@stat.berkeley.edu",a comparison of normalization methods for high density oligonucleotide array data based on variance and bias,"motivation: when running experiments that involve multiple high density oligonucleotide arrays, it is important to remove sources of variation between arrays of non-biological origin. normalization is a process for reducing this variation. it is common to see non-linear relations between arrays and the standard normalization provided by affymetrix does not perform well in these situations."
849862,article,"automatic control, ieee transactions on",,,ieee,7,19,6,1974,dec,2006-09-19 17:26:06,,a new look at the statistical model identification,the history of the development of statistical hypothesis testing in time series analysis is reviewed briefly and it is pointed out that the hypothesis testing procedure is not adequately defined as the procedure for statistical model identification. the classical maximum likelihood estimation procedure is reviewed and a new estimate minimum information theoretical criterion ({aic}) estimate ({maice}) which is designed for the purpose of statistical identification is introduced. when there are several competing models the {maice} is defined by the model and the maximum likelihood estimates of the parameters which give the minimum of {aic} defined by {aic} = (-2)log-(maximum likelihood) + 2(number of independently adjusted parameters within the model). {maice} provides a versatile procedure for statistical model identification which is free from the ambiguities inherent in the application of conventional hypothesis testing procedure. the practical utility of {maice} in time series analysis is demonstrated with some numerical examples.
11191048,article,nature,,,nature research,17,489,7414,2012,sep,2012-09-05 20:21:09,,an integrated encyclopedia of {dna} elements in the human genome,"the human genome encodes the blueprint of life, but the function of the vast majority of its nearly three billion bases is unknown. the encyclopedia of {dna} elements ({encode}) project has systematically mapped regions of transcription, transcription factor association, chromatin structure and histone modification. these data enabled us to assign biochemical functions for 80\% of the genome, in particular outside of the well-studied protein-coding regions. many discovered candidate regulatory elements are physically associated with one another and with expressed genes, providing new insights into the mechanisms of gene regulation. the newly identified elements also show a statistical correspondence to sequence variants linked to human disease, and can thereby guide interpretation of this variation. overall, the project provides new insights into the organization and regulation of our genes and genome, and is an expansive resource of functional annotations for biomedical research."
1451915,article,"science (new york, n.y.)",,,american association for the advancement of science,9,220,4598,1983,may,2007-07-12 13:09:35,,optimization by simulated annealing.,there is a deep and useful connection between statistical mechanics (the behavior of systems with many degrees of freedom in thermal equilibrium at a finite temperature) and multivariate or combinatorial optimization (finding the minimum of a given function depending on many parameters). a detailed analogy with annealing in solids provides a framework for optimization of the properties of very large and complex systems. this connection to statistical mechanics exposes new information and provides an unfamiliar perspective on traditional optimization problems and methods.
686543,article,bmc bioinformatics,,,biomed central ltd,,7,Suppl 1,2006,mar,2006-06-06 12:25:05,"department of biomedical informatics, columbia university, new york, ny 10032, usa. adam@dbmi.columbia.edu",{aracne}: an algorithm for the reconstruction of gene regulatory networks in a mammalian cellular context,"elucidating gene regulatory networks is crucial for understanding normal cell physiology and complex pathologic phenotypes. existing computational methods for the genome-wide ""reverse engineering"" of such networks have been successful only for lower eukaryotes with simple genomes. here we present {aracne}, a novel algorithm, using microarray expression profiles, specifically designed to scale up to the complexity of regulatory networks in mammalian cells, yet general enough to address a wider range of network deconvolution problems. this method uses an information theoretic approach to eliminate the majority of indirect interactions inferred by co-expression methods."
7168344,article,science,,,american association for the advancement of science,2,328,5980,2010,may,2010-05-14 07:25:42,,"community structure in {time-dependent}, multiscale, and multiplex networks","network science is an interdisciplinary endeavor, with methods and applications drawn from across the natural, social, and information sciences. a prominent problem in network science is the algorithmic detection of tightly connected groups of nodes known as communities. we developed a generalized framework of network quality functions that allowed us to study the community structure of arbitrary multislice networks, which are combinations of individual networks coupled through links that connect each node in one network slice to itself in other slices. this framework allows studies of community structure in a general setting encompassing networks that evolve over time, have multiple types of links (multiplexity), and have multiple scales."
200340,book,,,,the mit press,,,,2004,aug,2005-05-14 22:46:10,,where the action is: the foundations of embodied interaction,
6569530,article,bioinformatics,,,oxford university press,6,26,5,2010,mar,2010-01-20 23:32:59,,fast and accurate long-read alignment with {burrows–wheeler} transform,"motivation: many programs for aligning short sequencing reads to a reference genome have been developed in the last 2 years. most of them are very efficient for short reads but inefficient or not applicable for reads >200 bp because the algorithms are heavily and specifically tuned for short queries with low sequencing error rate. however, some sequencing platforms already produce longer reads and others are expected to become available soon. for longer reads, hashing-based software such as {blat} and {ssaha2} remain the only choices. nonetheless, these methods are substantially slower than short-read aligners in terms of aligned bases per unit time."
94348,article,nucleic acids research,,,oxford university press,7,22,22,1994,nov,2005-02-14 12:22:28,"european molecular biology laboratory, heidelberg, germany.","{clustal} w: improving the sensitivity of progressive multiple sequence alignment through sequence weighting, position-specific gap penalties and weight matrix choice.","the sensitivity of the commonly used progressive multiple sequence alignment method has been greatly improved for the alignment of divergent protein sequences. firstly, individual weights are assigned to each sequence in a partial alignment in order to down-weight near-duplicate sequences and up-weight the most divergent ones. secondly, amino acid substitution matrices are varied at different alignment stages according to the divergence of the sequences to be aligned. thirdly, residue-specific gap penalties and locally reduced gap penalties in hydrophilic regions encourage new gaps in potential loop regions rather than regular secondary structure. fourthly, positions in early alignments where gaps have been opened receive locally reduced gap penalties to encourage the opening up of new gaps at these positions. these modifications are incorporated into a new program, {clustal} w which is freely available."
318897,book,,,,cambridge university press,,,,1992,oct,2005-09-13 20:35:47,,"numerical recipes in c: the art of scientific computing, second edition",
2288308,article,science,,,,3,319,5862,2008,jan,2008-01-25 07:09:15,,alignment uncertainty and genomic analysis,"the statistical methods applied to the analysis of genomic data do not account for uncertainty in the sequence alignment. indeed, the alignment is treated as an observation, and all of the subsequent inferences depend on the alignment being correct. this may not have been too problematic for many phylogenetic studies, in which the gene is carefully chosen for, among other things, ease of alignment. however, in a comparative genomics study, the same statistical methods are applied repeatedly on thousands of genes, many of which will be difficult to align. using genomic data from seven yeast species, we show that uncertainty in the alignment can lead to several problems, including different alignment methods resulting in different conclusions."
131325,article,"science (new york, n.y.)",,,american association for the advancement of science,8,304,5667,2004,apr,2005-03-17 15:10:29,,environmental genome shotgun sequencing of the sargasso sea.,"we have applied ""whole-genome shotgun sequencing"" to microbial populations collected en masse on tangential flow and impact filters from seawater samples collected from the sargasso sea near bermuda. a total of 1.045 billion base pairs of nonredundant sequence was generated, annotated, and analyzed to elucidate the gene content, diversity, and relative abundance of the organisms within these environmental samples. these data are estimated to derive from at least 1800 genomic species based on sequence relatedness, including 148 previously unknown bacterial phylotypes. we have identified over 1.2 million previously unknown genes represented in these samples, including more than 782 new rhodopsin-like photoreceptors. variation in species present and stoichiometry suggests substantial oceanic microbial diversity."
77267,article,commun. acm,,,acm,2,47,12,2004,dec,2005-01-13 12:14:28,"new york, ny, usa",how blogging software reshapes the online community,"spurred by easy-to-use commercial software, blogging is less about creating links and references to sites and sources, and increasingly about bloggers' own comments and personal interests."
71749,proceedings,,proceedings of the 32nd acm symposium on theory of computing,,,,,,-1,,2005-01-02 16:35:14,,the {small-world} phenomenon: an algorithmic perspective,"long a matter of folklore, the \&quot;small-world phenomenon\&quot; -- the principle that we are all linked by short chains of acquaintances -- was inaugurated as an area of experimental study in the social sciences through the pioneering work of stanley milgram in the 1960's. this work was among the first to make the phenomenon quantitative, allowing people to speak of the \&quot;six degrees of separation\&quot; between any two people in the united states. since then, a number of network models have been proposed as..."
102131,article,acm comput. surv.,,,acm,36,36,4,2004,dec,2005-02-23 21:53:02,"new york, ny, usa",a survey of peer-to-peer content distribution technologies,"distributed computer architectures labeled ""peer-to-peer"" are designed for the sharing of computer resources (content, storage, {cpu} cycles) by direct exchange, rather than requiring the intermediation or support of a centralized server or authority. peer-to-peer architectures are characterized by their ability to adapt to failures and accommodate transient populations of nodes while maintaining acceptable connectivity and {performance.content} distribution is an important peer-to-peer application on the internet that has received considerable research attention. content distribution applications typically allow personal computers to function in a coordinated manner as a distributed storage medium by contributing, searching, and obtaining digital {content.in} this survey, we propose a framework for analyzing peer-to-peer content distribution technologies. our approach focuses on nonfunctional characteristics such as security, scalability, performance, fairness, and resource management potential, and examines the way in which these characteristics are reflected in---and affected by---the architectural design decisions adopted by current peer-to-peer {systems.we} study current peer-to-peer systems and infrastructure technologies in terms of their distributed object location and routing mechanisms, their approach to content replication, caching and migration, their support for encryption, access control, authentication and identity, anonymity, deniability, accountability and reputation, and their use of resource trading and management schemes."
333029,article,rev. mod. phys.,,,american physical society,50,74,1,2002,jan,2005-09-27 16:01:26,,statistical mechanics of complex networks,"complex networks describe a wide range of systems in nature and society. frequently cited examples include the cell, a network of chemicals linked by chemical reactions, and the internet, a network of routers and computers connected by physical links. while traditionally these systems have been modeled as random graphs, it is increasingly recognized that the topology and evolution of real networks are governed by robust organizing principles. this article reviews the recent advances in the field of complex networks, focusing on the statistical mechanics of network topology and dynamics. after reviewing the empirical data that motivated the recent interest in networks, the authors discuss the main models and analytical tools, covering random graphs, small-world and scale-free networks, the emerging theory of evolving networks, and the interplay between topology and the network\&\#39;s robustness against failures and attacks."
1603667,article,bioinformatics,,,oxford university press,10,23,19,2007,oct,2007-08-29 06:56:48,"department of plant systems biology, vib, b-9052 ghent, belgium and bioinformatics and evolutionary genomics group, department of molecular genetics, ghent university, b-9052 ghent, belgium.",a review of feature selection techniques in bioinformatics,"feature selection techniques have become an apparent need in many bioinformatics applications. in addition to the large pool of techniques that have already been developed in the machine learning and data mining fields, specific applications in bioinformatics have led to a wealth of newly proposed techniques."
877,article,,,,,,,,-1,,2004-11-21 20:59:19,,{referral web}: combining social networks and collaborative filtering,
2678830,article,nature,,,nature publishing group,5,452,7189,2008,apr,2008-04-16 20:45:23,,evolvability and hierarchy in rewired bacterial gene networks,
117642,book,,,,scribner,,,,2002,aug,2005-03-09 00:17:04,,"emergence: the connected lives of ants, brains, cities, and software",
4170553,article,science,,,american association for the advancement of science,3,324,5925,2009,apr,2009-03-16 11:30:53,,local {dna} topography correlates with functional noncoding regions of the human genome,"the three-dimensional molecular structure of {dna}, specifically the shape of the backbone and grooves of genomic {dna}, can be dramatically affected by nucleotide changes, which can cause differences in protein-binding affinity and phenotype. we developed an algorithm to measure constraint on the basis of similarity of {dna} topography among multiple species, using hydroxyl radical cleavage patterns to interrogate the solvent-accessible surface area of {dna}. this algorithm found that 12\% of bases in the human genome are evolutionarily constrained—double the number detected by nucleotide sequence–based algorithms. topography-informed constrained regions correlated with functional noncoding elements, including enhancers, better than did regions identified solely on the basis of nucleotide sequence. these results support the idea that the molecular shape of {dna} is under selection and can identify evolutionary history."
1121661,article,mach. learn.,,,kluwer academic publishers,27,45,1,2001,oct,2007-05-22 17:21:44,"hingham, ma, usa",random forests,"random forests are a combination of tree predictors such that each tree depends on the values of a random vector sampled independently and with the same distribution for all trees in the forest. the generalization error for forests converges a.s. to a limit as the number of trees in the forest becomes large. the generalization error of a forest of tree classifiers depends on the strength of the individual trees in the forest and the correlation between them. using a random selection of features to split each node yields error rates that compare favorably to adaboost (y. freund \& r. schapire, machine learning: proceedings of the thirteenth international conference, \&ast;\&ast;\&ast;, 148–156), but are more robust with respect to noise. internal estimates monitor error, strength, and correlation and these are used to show the response to increasing the number of features used in the splitting. internal estimates are also used to measure variable importance. these ideas are also applicable to regression."
1877660,book,,,,wiley-interscience,,,,2006,jul,2007-11-07 13:44:10,,elements of information theory 2nd edition (wiley series in telecommunications and signal processing),"the latest edition of this classic is updated with new problem sets and material<br> <br> the second edition of this fundamental textbook maintains the book's tradition of clear, thought-provoking instruction. readers are provided once again with an instructive mix of mathematics, physics, statistics, and information theory.<br> <br> all the essential topics in information theory are covered in detail, including entropy, data compression, channel capacity, rate distortion, network information theory, and hypothesis testing. the authors provide readers with a solid understanding of the underlying theory and applications. problem sets and a telegraphic summary at the end of each chapter further assist readers. the historical notes that follow each chapter recap the main points.<br> <br> the second edition features:<br> * chapters reorganized to improve teaching<br> * 200 new problems<br> * new material on source coding, portfolio theory, and feedback capacity<br> * updated references<br> <br> now current and enhanced, the second edition of elements of information theory remains the ideal textbook for upper-level undergraduate and graduate courses in electrical engineering, statistics, and telecommunications. <p> an instructor's manual presenting detailed solutions to all the problems in the book is available from the wiley editorial department."
1087189,article,proceedings of the national academy of sciences,,,national academy of sciences,5,104,1,2007,jan,2007-02-04 14:45:07,,resolution limit in community detection,"detecting community structure is fundamental for uncovering the links between structure and function in complex networks and for practical applications in many disciplines such as biology and sociology. a popular method now widely used relies on the optimization of a quantity called modularity, which is a quality index for a partition of a network into communities. we find that modularity optimization may fail to identify modules smaller than a scale which depends on the total size of the network and on the degree of interconnectedness of the modules, even in cases where modules are unambiguously defined. this finding is confirmed through several examples, both in artificial and in real social, biological, and technological networks, where we show that modularity optimization indeed does not resolve a large number of modules. a check of the modules obtained through modularity optimization is thus necessary, and we provide here key elements for the assessment of the reliability of this community detection method."
7515828,article,genome research,,,cold spring harbor laboratory press,6,20,9,2010,sep,2010-07-20 07:45:31,,the genome analysis toolkit: a {mapreduce} framework for analyzing next-generation {dna} sequencing data,"an international, peer-reviewed genome sciences journal featuring outstanding original research that offers novel insights into the biology of all organisms"
587762,book,,,,yale university press,,,,2006,may,2006-04-15 17:42:59,,the wealth of networks: how social production transforms markets and freedom,
8525342,article,plos comput biol,,,public library of science,,7,1,2011,jan,2011-01-07 18:07:53,,ten simple rules for getting ahead as a computational biologist in academia,
491,inproceedings,,proceedings of the 13th international conference on world wide web,www,acm,10,,,2004,,2004-11-15 16:58:37,"new york, ny, usa",information diffusion through blogspace,"we study the dynamics of information propagation in environments of low-overhead personal publishing, using a large collection of weblogs over time as our example domain. we characterize and model this collection at two levels. first, we present a macroscopic characterization of topic propagation through our corpus, formalizing the notion of long-running ""chatter"" topics consisting recursively of ""spike"" topics generated by outside world events, or more rarely, by resonances within the community. second, we present a microscopic characterization of propagation from individual to individual, drawing on the theory of infectious diseases to model the flow. we propose, validate, and employ an algorithm to induce the underlying propagation network from a sequence of posts, and report on the results."
307461,article,nature genetics,,,nature publishing group,4,31,1,2002,apr,2005-08-30 19:25:14,,network motifs in the transcriptional regulation network of escherichia coli,"little is known about the design principles1, 2, 3, 4, 5, 6, 7, 8, 9, 10 of transcriptional regulation networks that control gene expression in cells. recent advances in data collection and analysis2, 11, 12, however, are generating unprecedented amounts of information about gene regulation networks. to understand these complex wiring diagrams1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 13, we sought to break down such networks into basic building blocks2. we generalize the notion of motifs, widely used for sequence analysis, to the level of networks. we define 'network motifs' as patterns of interconnections that recur in many different parts of a network at frequencies much higher than those found in randomized networks. we applied new algorithms for systematically detecting network motifs to one of the best-characterized regulation networks, that of direct transcriptional interactions in escherichia coli 3, 6. we find that much of the network is composed of repeated appearances of three highly significant motifs. each network motif has a specific function in determining gene expression, such as generating temporal expression programs and governing the responses to fluctuating external signals. the motif structure also allows an easily interpretable view of the entire known transcriptional network of the organism. this approach may help define the basic computational elements of other biological networks."
6758502,article,nature,,,nature publishing group,8,464,7285,2010,mar,2010-03-03 21:23:53,,quantum computers,"over the past several decades, quantum information science has emerged to seek answers to the question: can we gain some advantage by storing, transmitting and processing information encoded in systems that exhibit unique quantum properties? today it is understood that the answer is yes, and many research groups around the world are working towards the highly ambitious technological goal of building a quantum computer, which would dramatically improve computational power for particular tasks. a number of physical systems, spanning much of modern physics, are being developed for quantum computation. however, it remains unclear which technology, if any, will ultimately prove successful. here we describe the latest developments for each of the leading approaches and explain the major challenges for the future."
2322651,article,j. chem. theory comput.,journal of chemical theory and computation,,american chemical society,12,4,3,2008,mar,2008-02-02 10:28:22,"stockholm center for biomembrane research, stockholm university, se-10691 stockholm, sweden","{gromacs} 4:  algorithms for highly efficient, {load-balanced}, and scalable molecular simulation","molecular simulation is an extremely useful, but computationally very expensive tool for studies of chemical and biomolecular systems. here, we present a new implementation of our molecular simulation toolkit {gromacs} which now both achieves extremely high performance on single processors from algorithmic optimizations and hand-coded routines and simultaneously scales very well on parallel machines. the code encompasses a minimal-communication domain decomposition algorithm, full dynamic load balancing, a state-of-the-art parallel constraint solver, and efficient virtual site algorithms that allow removal of hydrogen atom degrees of freedom to enable integration time steps up to 5 fs for atomistic simulations also in parallel. to improve the scaling properties of the common particle mesh ewald electrostatics algorithms, we have in addition used a {multiple-program}, {multiple-data} approach, with separate node domains responsible for direct and reciprocal space interactions. not only does this combination of algorithms enable extremely long simulations of large systems but also it provides that simulation performance on quite modest numbers of standard cluster nodes."
126678,book,,,,addison-wesley professional,,,,1995,aug,2005-03-14 15:49:32,,"the mythical {man-month}: essays on software engineering, anniversary edition (2nd edition)","these essays draw from brooks' experience as project manager for the {ibm} system/360 computer family and then for {os}/360, its massive software system. now, 20 years after the initial publication of his book, brooks has revisited his original ideas and added new thoughts and advice. -- from publisher description"
6043555,article,nature methods,,,nature publishing group,7,6,11s,2009,oct,2009-10-30 15:56:40,,computational methods for discovering structural variation with next-generation sequencing,"in the last several years, a number of studies have described large-scale structural variation in several genomes. traditionally, such methods have used whole-genome array comparative genome hybridization or single-nucleotide polymorphism arrays to detect large regions subject to copy-number variation. later techniques have been based on paired-end mapping of sanger sequencing data, providing better resolution and accuracy. with the advent of next-generation sequencing, a new generation of methods is being developed to tackle the challenges of short reads, while taking advantage of the high coverage the new sequencing technologies provide. in this survey, we describe these methods, including their strengths and their limitations, and future research directions."
197297,book,,,,simon \& schuster,,,,1997,sep,2005-05-11 21:48:04,,life on the screen: identity in the age of the internet,"{sherry turkle is rapidly becoming the sociologist of the internet, and that's beginning to seem like a good thing. while her first outing, <i>the second self: computers and the human spirit</i>, made groundless assertions and seemed to be carried along more by her affection for certain theories than by a careful look at our current situation, <i>life on the screen</i> is a balanced and nuanced look at some of the ways that cyberculture helps us comment upon real life (what the cybercrowd sometimes calls rl). instead of giving in to any one theory on construction of identity, turkle looks at the way various netizens have used the internet, and especially muds (multi-user dimensions), to learn more about the possibilities available in apprehending the world. one of the most interesting sections deals with gender, a topic prone to rash and partisan pronouncements. taking as her motto william james's maxim ""philosophy is the art of imagining alternatives,"" turkle shows how playing with gender in cyberspace can shape a person's real-life understanding of gender. especially telling are the examples of the man who finds it easier to be assertive when playing a woman, because he believes male assertiveness is now frowned upon while female assertiveness is considered hip, and the woman who has the opposite response, believing that it is easier to be aggressive when she plays a male, because as a woman she would be considered ""bitchy."" without taking sides, turkle points out how both have expanded their emotional range. other topics, such as artificial life, receive an equally calm and sage response, and the first-person accounts from many internet users provide compelling reading and good source material for readers to draw their own conclusions.  }"
1388250,article,nature,,,nature publishing group,17,447,7146,2007,jun,2007-06-13 21:14:50,,identification and analysis of functional elements in 1\% of the human genome by the {encode} pilot project,"we report the generation and analysis of functional data from multiple, diverse experiments performed on a targeted 1\% of the human genome as part of the pilot phase of the {encode} project. these data have been further integrated and augmented by a number of evolutionary and computational analyses. together, our results advance the collective knowledge about human genome function in several major areas. first, our studies provide convincing evidence that the genome is pervasively transcribed, such that the majority of its bases can be found in primary transcripts, including non-protein-coding transcripts, and those that extensively overlap one another. second, systematic examination of transcriptional regulation has yielded new understanding about transcription start sites, including their relationship to specific regulatory sequences and features of chromatin accessibility and histone modification. third, a more sophisticated view of chromatin structure has emerged, including its inter-relationship with {dna} replication and transcriptional regulation. finally, integration of these new sources of information, in particular with respect to mammalian evolution based on inter- and intra-species sequence comparisons, has yielded new mechanistic and evolutionary insights concerning the functional landscape of the human genome. together, these studies are defining a path for pursuit of a more comprehensive characterization of human genome function."
201583,book,,,,routledge,,,,1999,feb,2005-05-16 17:58:02,,communities in cyberspace,"editors smith and kollock have gathered contributors with a variety of viewpoints to examine both the ""legitimacy"" of community in cyberspace and to question how it operates. while the authors do conclude that communities in cyberspace are real communities, they explore the sometimes surprising ways in which cybercommunities differ from their geographically based counterparts.<p> there are four primary issues probed here: the question of online identity in an environment where individuals cannot be seen; the question of social order and control in what is, at least on the surface, a largely anarchic environment; the structure and dynamics of online communities; and the cybercommunity as a foundation for collective action.<p> there's much here to provoke long discussions both online and off, such as the argument that the screen doesn't eliminate the consideration of racial identity so much as it allows for the development of nonvisual criteria for people to judge (or misjudge) the races of others. this book was compiled to be used in the college classroom, although it's not jargon laden or difficult to read. it will appeal to anyone who is professionally or individually involved with virtual communities. <{i>--elizabeth} {lewis</i}>"
126676,book,,,,back bay books,,,,2002,jan,2005-03-14 15:48:45,,the tipping point: how little things can make a big difference,"{""why did crime in new york drop so suddenly in the mid-90s? how does an unknown novelist end up a bestselling author? why is teenage smoking out of control, when everyone knows smoking kills? what makes tv shows like sesame street so good at teaching kids how to read? why did paul revere succeed with his famous warning? in this brilliant and groundbreaking book, new yorker writer malcolm gladwell looks at why major changes in our society so often happen suddenly and unexpectedly. ideas, behavior, messages, and products, he argues, often spread like outbreaks of infectious disease. just as a single sick person can start an epidemic of the flu, so too can a few fare-beaters and graffiti artists fuel a subway crime wave, or a satisfied customer fill the empty tables of a new restaurant. these are social epidemics, and the moment when they take off, when they reach their critical mass, is the tipping point.   <p>in the tipping point, gladwell introduces us to the particular personality types who are natural pollinators of new ideas and trends, the people who create the phenomenon of word of mouth. he analyzes fashion trends, smoking, children's television, direct mail and the early days of the american revolution for clues about making ideas infectious, and visits a religious commune, a successful high-tech company, and one of the world's greatest salesmen to show how to start and sustain social epidemics. the tipping point is an intellectual adventure story written with an infectious enthusiasm for the power and joy of new ideas. most of all, it is a road map to change, with a profoundly hopeful message--that one imaginative person applying a well-placed lever can move the world.""}"
3381078,article,plos med,,,public library of science,,5,10,2008,oct,2008-10-07 05:53:54,,why current publication practices may distort science,john ioannidis and colleagues argue that the current system of publication in biomedical research provides a distorted view of the reality of scientific data.
2580227,inproceedings,,proceedings of the 9th webkdd and 1st sna-kdd 2007 workshop on web mining and social network analysis,webkdd/sna-kdd,acm,9,,,2007,,2008-03-24 10:27:15,"new york, ny, usa",why we twitter: understanding microblogging usage and communities,"microblogging is a new form of communication in which users can describe their current status in short posts distributed by instant messages, mobile phones, email or the web. twitter, a popular microblogging tool has seen a lot of growth since it launched in october, 2006. in this paper, we present our observations of the microblogging phenomena by studying the topological and geographical properties of twitter's social network. we find that people use microblogging to talk about their daily activities and to seek or share information. finally, we analyze the user intentions associated at a community level and show how users with similar intentions connect with each other."
159967,article,nucleic acids research,,,oxford university press,9,30,7,2002,apr,2005-04-13 17:58:32,"computational genomics group, the european bioinformatics institute, embl cambridge outstation, cambridge cb10 1sd, uk. anton@ebi.ac.uk",an efficient algorithm for large-scale detection of protein families.,"detection of protein families in large databases is one of the principal research objectives in structural and functional genomics. protein family classification can significantly contribute to the delineation of functional diversity of homologous proteins, the prediction of function based on domain architecture or the presence of sequence motifs as well as comparative genomics, providing valuable evolutionary insights. we present a novel approach called {tribe}-{mcl} for rapid and accurate clustering of protein sequences into families. the method relies on the markov cluster ({mcl}) algorithm for the assignment of proteins into families based on precomputed sequence similarity information. this novel approach does not suffer from the problems that normally hinder other protein sequence clustering algorithms, such as the presence of multi-domain proteins, promiscuous domains and fragmented proteins. the method has been rigorously tested and validated on a number of very large databases, including {swissprot}, {interpro}, {scop} and the draft human genome. our results indicate that the method is ideally suited to the rapid and accurate detection of protein families on a large scale. the method has been used to detect and categorise protein families within the draft human genome and the resulting families have been used to annotate a large proportion of human proteins."
252315,book,,,,the johns hopkins university press,,,,1996,oct,2005-07-12 19:58:52,,matrix computations,"<{p>revised} and updated, the third edition of golub and van loan's classic text in computer science provides essential information about the mathematical background and algorithmic skills required for the production of numerical software. this new edition includes thoroughly revised chapters on matrix multiplication problems and parallel matrix computations, expanded treatment of {cs} decomposition, an updated overview of floating point arithmetic, a more accurate rendition of the modified {gram-schmidt} process, and new material devoted to {gmres}, {qmr}, and other methods designed to handle the sparse unsymmetric linear system {problem.</p}>"
128,article,proceedings of the national academy of sciences,,,national academy of sciences,5,98,2,2001,jan,2004-11-08 17:14:49,"santa fe institute, 1399 hyde park road, santa fe, nm 87501, usa. mark@santafe.edu",the structure of scientific collaboration networks,"the structure of scientific collaboration networks is investigated. two scientists are considered connected if they have authored a paper together and explicit networks of such connections are constructed by using data drawn from a number of databases, including {medline} (biomedical research), the los alamos {e-print} archive (physics), and {ncstrl} (computer science). i show that these collaboration networks form  ” small worlds,” in which randomly chosen pairs of scientists are typically separated by only a short path of intermediate acquaintances. i further give results for mean and distribution of numbers of collaborators of authors, demonstrate the presence of clustering in the networks, and highlight a number of apparent differences in the patterns of collaboration between the fields studied."
142938,techreport,,,,,,,,-1,,2005-03-30 14:30:28,"redmond, washington",a tutorial on learning with bayesian networks,"a bayesian network is a graphical model that encodes probabilistic relationships among variables of interest. when used in conjunction with statistical techniques, the graphical model has several advantages for data analysis. one, because the model encodes dependencies among all variables, it readily handles situations where some data entries are missing. two, a bayesian network can be used to learn causal relationships, and hence can be used to gain understanding about a problem domain and to..."
